   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   1.7731904e+02	   4.0226086e+01	  -6.1612021e+01	   5.1651553e-01	   4.9725134e-02	   1.9626449e+01	   3.3809695e+01	   7.7682000e-01	   6.6438445e+00	   7.9879116e+01	
   1.7731972e+02	   4.0226866e+01	  -6.1607490e+01	   4.4916643e-01	   4.7454932e-02	   1.9685042e+01	   3.3818686e+01	   7.7921227e-01	   6.5704540e+00	   8.0445989e+01	
   1.7732041e+02	   4.0227645e+01	  -6.1602946e+01	   4.4780590e-01	   4.7901050e-02	   1.9751703e+01	   3.3821756e+01	   7.8769580e-01	   6.5044974e+00	   8.1030575e+01	
   1.7732111e+02	   4.0228434e+01	  -6.1598386e+01	   4.7677383e-01	   4.6981602e-02	   1.9828887e+01	   3.3809302e+01	   7.9223691e-01	   6.5264650e+00	   7.9723541e+01	
   1.7732180e+02	   4.0229251e+01	  -6.1593861e+01	   4.6099412e-01	   5.2443382e-02	   1.9911181e+01	   3.3785666e+01	   7.9676395e-01	   6.5365739e+00	   7.9754060e+01	
   1.7732250e+02	   4.0230036e+01	  -6.1589415e+01	   4.9097122e-01	   5.0700711e-02	   1.9995627e+01	   3.3817730e+01	   8.0402395e-01	   6.5677362e+00	   7.8774130e+01	
   1.7732319e+02	   4.0230831e+01	  -6.1584839e+01	   4.6185681e-01	   5.0733528e-02	   2.0081197e+01	   3.3849436e+01	   8.1038679e-01	   6.5290676e+00	   7.9247048e+01	
   1.7732390e+02	   4.0231626e+01	  -6.1580187e+01	   5.1060352e-01	   5.5062786e-02	   2.0165023e+01	   3.3915378e+01	   8.1503435e-01	   6.5269427e+00	   8.0026368e+01	
   1.7732459e+02	   4.0232381e+01	  -6.1575740e+01	   4.7093306e-01	   5.1322899e-02	   2.0233683e+01	   3.3933432e+01	   8.2165676e-01	   6.5331018e+00	   7.9730690e+01	
   1.7732528e+02	   4.0233144e+01	  -6.1571255e+01	   4.8857264e-01	   4.9082541e-02	   2.0286963e+01	   3.3981722e+01	   8.2402424e-01	   6.5042549e+00	   7.8872940e+01	
