   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   8.0827593e+01	   2.2961205e+01	  -6.2854692e+01	   3.1975144e+00	   2.5331061e-01	   2.5809890e+01	   3.6853972e+01	   8.0261618e+01	   1.2256919e+01	   4.4379461e+01	             NaN	
   8.0841921e+01	   2.3008472e+01	  -6.2804792e+01	   2.6729533e+00	   2.7892034e-01	   2.5880532e+01	   3.6867378e+01	   8.1315205e+01	   1.1991119e+01	   4.3648787e+01	             NaN	
   8.0856250e+01	   2.3054739e+01	  -6.2754892e+01	   2.9485808e+00	   2.7314816e-01	   2.5764344e+01	   3.6853295e+01	   8.1889202e+01	   1.2246479e+01	   4.4280125e+01	             NaN	
   8.0870648e+01	   2.3101205e+01	  -6.2703795e+01	   2.7853972e+00	   2.9633043e-01	   2.5625728e+01	   3.6813715e+01	   8.2969209e+01	   1.1928710e+01	   4.4271845e+01	             NaN	
   8.0884977e+01	   2.3146472e+01	  -6.2652792e+01	   2.7823134e+00	   2.8355293e-01	   2.5528108e+01	   3.6691010e+01	   8.4324705e+01	   1.1872078e+01	   4.3548889e+01	             NaN	
   8.0899306e+01	   2.3191108e+01	  -6.2600892e+01	   2.6002484e+00	   2.7663242e-01	   2.5566317e+01	   3.6726893e+01	   8.4532333e+01	   1.1888463e+01	   4.5278445e+01	             NaN	
   8.0913704e+01	   2.3238205e+01	  -6.2548692e+01	   2.6855912e+00	   2.5972092e-01	   2.5535638e+01	   3.6745510e+01	   8.3200000e+01	   1.1923077e+01	   4.4202576e+01	             NaN	
   8.0928009e+01	   2.3284108e+01	  -6.2496892e+01	   2.5856107e+00	   2.8667204e-01	   2.5501181e+01	   3.6738795e+01	   8.3000000e+01	   1.1907536e+01	   4.4348724e+01	             NaN	
   8.0942338e+01	   2.3330672e+01	  -6.2444992e+01	   2.5451501e+00	   2.5696347e-01	   2.5494721e+01	   3.6730298e+01	   8.2500759e+01	   1.2047021e+01	   4.4330551e+01	             NaN	
   8.0956690e+01	   2.3376005e+01	  -6.2392992e+01	   2.6621431e+00	   3.0124819e-01	   2.5540889e+01	   3.6754390e+01	   8.4500000e+01	   1.1870853e+01	   4.5101757e+01	             NaN	
   8.0971042e+01	   2.3424007e+01	  -6.2344662e+01	   2.5373612e+00	   2.6265896e-01	   2.5540195e+01	   3.6787278e+01	   8.2700000e+01	   1.1923383e+01	   4.3963160e+01	             NaN	
   8.0985370e+01	   2.3472907e+01	  -6.2296395e+01	   2.8921073e+00	   3.1605344e-01	   2.5439484e+01	   3.6763802e+01	   8.4316054e+01	   1.1923951e+01	   4.8100000e+01	             NaN	
   8.1032870e+01	   2.3629405e+01	  -6.2123893e+01	   3.2552608e+00	   2.9381179e-01	   2.5667069e+01	   3.6871217e+01	   8.0378560e+01	   1.1921312e+01	   4.7442879e+01	             NaN	
   8.1047176e+01	   2.3674605e+01	  -6.2072093e+01	   3.2062114e+00	   3.5102207e-01	   2.5427509e+01	   3.6765088e+01	   8.2818575e+01	   1.1869546e+01	   4.8079050e+01	             NaN	
   8.1061505e+01	   2.3719807e+01	  -6.2020193e+01	   3.2094187e+00	   3.5011690e-01	   2.5395864e+01	   3.6735013e+01	   8.1454990e+01	   1.1851574e+01	   4.7170729e+01	             NaN	
   8.1075856e+01	   2.3764205e+01	  -6.1968193e+01	   3.1526628e+00	   3.1698149e-01	   2.5366027e+01	   3.6728308e+01	   8.2222805e+01	   1.1887836e+01	   4.7140935e+01	             NaN	
   8.1090208e+01	   2.3809538e+01	  -6.1917193e+01	   2.9662743e+00	   2.9115377e-01	   2.5440208e+01	   3.6793285e+01	   8.0549672e+01	   1.1950000e+01	   4.6964855e+01	             NaN	
   8.1104537e+01	   2.3856805e+01	  -6.1866195e+01	   3.0885757e+00	   3.1826804e-01	   2.5403968e+01	   3.6791114e+01	   8.0887926e+01	   1.1983908e+01	   4.7731613e+01	             NaN	
   8.1118889e+01	   2.3904707e+01	  -6.1815293e+01	   3.3561057e+00	   3.2889533e-01	   2.5365431e+01	   3.6782869e+01	   8.2001734e+01	   1.1714137e+01	   4.7772419e+01	             NaN	
   8.1133287e+01	   2.3951907e+01	  -6.1765093e+01	   3.2441589e+00	   3.9452217e-01	   2.5399984e+01	   3.6788698e+01	   8.1911590e+01	   1.1935114e+01	   4.7409319e+01	             NaN	
   8.1147639e+01	   2.3997938e+01	  -6.1715062e+01	   3.1797762e+00	   3.4254909e-01	   2.5278741e+01	   3.6782494e+01	   8.0827974e+01	   1.1801243e+01	   4.8162702e+01	             NaN	
   8.1271065e+01	   2.4381404e+01	  -6.1269596e+01	   3.1038253e+00	   2.4048202e-01	   2.5013676e+01	   3.6907998e+01	   8.1008555e+01	   1.1910000e+01	   4.3848968e+01	             NaN	
   8.1285417e+01	   2.4425737e+01	  -6.1220263e+01	   2.6866419e+00	   2.5885781e-01	   2.4961899e+01	   3.6915874e+01	   8.0189954e+01	   1.1936256e+01	   4.4726256e+01	             NaN	
   8.1299815e+01	   2.4469204e+01	  -6.1169694e+01	   2.9131895e+00	   2.8932584e-01	   2.4933547e+01	   3.6849104e+01	   7.9269392e+01	   1.1810203e+01	   4.4718379e+01	             NaN	
   8.1314167e+01	   2.4512306e+01	  -6.1117694e+01	   2.9815764e+00	   2.9299806e-01	   2.4941776e+01	   3.6836969e+01	   7.9369394e+01	   1.1949323e+01	   4.3377574e+01	             NaN	
   8.1328542e+01	   2.4555937e+01	  -6.1066063e+01	   2.8056124e+00	   2.7200697e-01	   2.4963004e+01	   3.6866744e+01	   8.0218797e+01	   1.2057494e+01	   4.1887469e+01	             NaN	
   8.1342894e+01	   2.4602271e+01	  -6.1016594e+01	   3.0222726e+00	   3.2407881e-01	   2.4878801e+01	   3.6895308e+01	   7.9340591e+01	   1.1830824e+01	   4.1532349e+01	             NaN	
   8.1357292e+01	   2.4646737e+01	  -6.0965263e+01	   2.8267345e+00	   2.8459728e-01	   2.4800191e+01	   3.6932727e+01	   7.9339414e+01	   1.1808393e+01	   4.0878827e+01	             NaN	
   8.1371620e+01	   2.4692004e+01	  -6.0914494e+01	   2.4821234e+00	   2.5417068e-01	   2.4708940e+01	   3.6937004e+01	   8.0547487e+01	   1.2099923e+01	   4.3152513e+01	             NaN	
