   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   4.4110762e+01	  -4.1888550e+01	   1.7482100e+02	   2.5523890e+00	   2.5294275e-01	   1.5553076e+01	   3.4602948e+01	   1.0812344e+00	   5.5061927e+00	   1.7879927e+02	
   4.4111445e+01	  -4.1890985e+01	   1.7482100e+02	   3.3448600e+00	   3.4432790e-01	   1.5651397e+01	   3.4562879e+01	   1.0747087e+00	   5.8793534e+00	   1.7868775e+02	
   4.4112139e+01	  -4.1893453e+01	   1.7482100e+02	   3.5276170e+00	   4.4036859e-01	   1.5713764e+01	   3.4536547e+01	   1.0212846e+00	   5.6907282e+00	   1.7845542e+02	
   4.4112833e+01	  -4.1896429e+01	   1.7482100e+02	   3.6780406e+00	   4.5795177e-01	   1.5743717e+01	   3.4537858e+01	   9.1420999e-01	   5.3139279e+00	   1.7848068e+02	
   4.4113528e+01	  -4.1899405e+01	   1.7482100e+02	   3.7385349e+00	   3.7340006e-01	   1.5786540e+01	   3.4548027e+01	   7.9849624e-01	   5.0207777e+00	   1.7824504e+02	
   4.4114222e+01	  -4.1902382e+01	   1.7482100e+02	   5.7893155e+00	   6.2359236e-01	   1.5822474e+01	   3.4543566e+01	   7.4800000e-01	   5.0526255e+00	   1.7888816e+02	
   4.4114917e+01	  -4.1905358e+01	   1.7482100e+02	   6.1526751e+00	   6.6422785e-01	   1.5839535e+01	   3.4540767e+01	   7.0500417e-01	   5.4494257e+00	   1.7923104e+02	
   4.4115611e+01	  -4.1907889e+01	   1.7482100e+02	   5.4112703e+00	   4.2701176e-01	   1.5880006e+01	   3.4562559e+01	   6.5300000e-01	   5.5434472e+00	   1.7829391e+02	
   4.4116306e+01	  -4.1910310e+01	   1.7482100e+02	   6.2285156e+00	   6.1858699e-01	   1.5924697e+01	   3.4554531e+01	   6.3509470e-01	   5.2762779e+00	   1.7816014e+02	
   4.4117000e+01	  -4.1913286e+01	   1.7482100e+02	   6.0997528e+00	   6.6982116e-01	   1.5974148e+01	   3.4533715e+01	   6.1800289e-01	   5.3601373e+00	   1.7924971e+02	
   4.4117695e+01	  -4.1916263e+01	   1.7482100e+02	   5.3048085e+00	   5.5868561e-01	   1.6003309e+01	   3.4539367e+01	   6.3736272e-01	   5.4337753e+00	   1.7887084e+02	
   4.4118389e+01	  -4.1919239e+01	   1.7482100e+02	   5.2388824e+00	   4.8397188e-01	   1.6026716e+01	   3.4547303e+01	   6.5300000e-01	   5.2825233e+00	   1.7889258e+02	
   4.4119083e+01	  -4.1921945e+01	   1.7482100e+02	   3.8118919e+00	   3.7458618e-01	   1.6039087e+01	   3.4562867e+01	   6.4638551e-01	   5.1608785e+00	   1.7861971e+02	
   4.4119778e+01	  -4.1924620e+01	   1.7482100e+02	   4.3867725e+00	   4.3029791e-01	   1.6017846e+01	   3.4569601e+01	   6.3900000e-01	   4.9701157e+00	   1.7882208e+02	
   4.4120472e+01	  -4.1927596e+01	   1.7482100e+02	   3.5735230e+00	   3.6179926e-01	   1.5973850e+01	   3.4599577e+01	   6.6825740e-01	   5.0137564e+00	   1.7850000e+02	
   4.4121167e+01	  -4.1930048e+01	   1.7482152e+02	   3.8624302e+00	   3.6174231e-01	   1.5951760e+01	   3.4613755e+01	   7.0081221e-01	   5.0166354e+00	   1.7925982e+02	
   4.4121861e+01	  -4.1932548e+01	   1.7482200e+02	   4.0216438e+00	   3.9192354e-01	   1.5952677e+01	   3.4614482e+01	   7.2093415e-01	   5.2720801e+00	   1.7912427e+02	
   4.4122556e+01	  -4.1935524e+01	   1.7482200e+02	   4.2404470e+00	   4.8098882e-01	   1.5992046e+01	   3.4613756e+01	   7.4111401e-01	   5.4468258e+00	   1.7921384e+02	
   4.4123250e+01	  -4.1938501e+01	   1.7482200e+02	   6.3257364e+00	   6.0548318e-01	   1.6014496e+01	   3.4578492e+01	   7.5500289e-01	   5.3214329e+00	   1.7832429e+02	
   4.4123945e+01	  -4.1940985e+01	   1.7482200e+02	   5.4153991e+00	   5.3247316e-01	   1.6014338e+01	   3.4544216e+01	   7.4181657e-01	   5.2517857e+00	   1.7824913e+02	
   4.4124639e+01	  -4.1943453e+01	   1.7482200e+02	   4.5531318e+00	   4.0460443e-01	   1.6041952e+01	   3.4559544e+01	   7.2729634e-01	   5.2026793e+00	   1.7924772e+02	
   4.4125333e+01	  -4.1946429e+01	   1.7482200e+02	   4.4599881e+00	   4.3705087e-01	   1.6067146e+01	   3.4580043e+01	   7.3400000e-01	   5.3126049e+00	   1.7828562e+02	
   4.4126028e+01	  -4.1949405e+01	   1.7482200e+02	   5.9509282e+00	   5.5362156e-01	   1.6076405e+01	   3.4573153e+01	   7.2791001e-01	   5.4104238e+00	   1.7886981e+02	
   4.4126722e+01	  -4.1952382e+01	   1.7482200e+02	   4.8863748e+00	   4.8066123e-01	   1.6066487e+01	   3.4583145e+01	   7.2100000e-01	   5.2509413e+00	   1.7904014e+02	
   4.4127417e+01	  -4.1954905e+01	   1.7482200e+02	   3.8495152e+00	   3.4319147e-01	   1.6067935e+01	   3.4598410e+01	   6.7166795e-01	   5.0045349e+00	   1.7846681e+02	
   4.4128111e+01	  -4.1957334e+01	   1.7482200e+02	   4.1453993e+00	   4.3241862e-01	   1.6091336e+01	   3.4604330e+01	   6.1200000e-01	   4.9589021e+00	   1.7898340e+02	
   4.4128806e+01	  -4.1960310e+01	   1.7482244e+02	   3.1217074e+00	   2.6785225e-01	   1.6116342e+01	   3.4599057e+01	   6.2990530e-01	   5.0577549e+00	   1.7877879e+02	
   4.4129500e+01	  -4.1963286e+01	   1.7482300e+02	   2.6866386e+00	   2.4769183e-01	   1.6125850e+01	   3.4602571e+01	   6.5857412e-01	   4.8956225e+00	   1.7819281e+02	
   4.4130195e+01	  -4.1966263e+01	   1.7482300e+02	   2.4424910e+00	   2.3805841e-01	   1.6105317e+01	   3.4607471e+01	   6.4916565e-01	   5.0069613e+00	   1.7863920e+02	
   4.4130889e+01	  -4.1968826e+01	   1.7482300e+02	   2.7144138e+00	   2.7923863e-01	   1.6116626e+01	   3.4620368e+01	   6.4829687e-01	   5.3436545e+00	   1.7901645e+02	
   4.4131583e+01	  -4.1971417e+01	   1.7482300e+02	   2.1302352e+00	   2.4185308e-01	   1.6138835e+01	   3.4622330e+01	   6.6724322e-01	   5.4063693e+00	   1.7830551e+02	
   4.4132278e+01	  -4.1974620e+01	   1.7482300e+02	   2.3604627e+00	   2.1938094e-01	   1.6139301e+01	   3.4614380e+01	   6.6001856e-01	   5.0955566e+00	   1.7841596e+02	
   4.4132972e+01	  -4.1977596e+01	   1.7482353e+02	   2.4642563e+00	   2.9708287e-01	   1.6130617e+01	   3.4616192e+01	   6.5908461e-01	   5.1423655e+00	   1.7878618e+02	
   4.4133667e+01	  -4.1980048e+01	   1.7482400e+02	   2.4378386e+00	   2.8141331e-01	   1.6103515e+01	   3.4625288e+01	   6.5300000e-01	   5.3392696e+00	   1.7881900e+02	
   4.4134361e+01	  -4.1982548e+01	   1.7482400e+02	   2.6781844e+00	   3.0223861e-01	   1.6080904e+01	   3.4636161e+01	   6.4577488e-01	   5.4743740e+00	   1.7805490e+02	
   4.4135056e+01	  -4.1985524e+01	   1.7482400e+02	   2.2090371e+00	   2.2408633e-01	   1.6068345e+01	   3.4643541e+01	   6.4611400e-01	   5.0962297e+00	   1.7879658e+02	
   4.4135750e+01	  -4.1988501e+01	   1.7482400e+02	   2.9095000e+00	   3.5188294e-01	   1.6076507e+01	   3.4643499e+01	   6.5950269e-01	   4.9846551e+00	   1.7927466e+02	
   4.4136445e+01	  -4.1990985e+01	   1.7482449e+02	   2.9134678e+00	   3.4204565e-01	   1.6087600e+01	   3.4625740e+01	   6.6600000e-01	   4.9231512e+00	   1.7872075e+02	
   4.4137139e+01	  -4.1993453e+01	   1.7482500e+02	   3.4995656e+00	   3.9937424e-01	   1.6054846e+01	   3.4621140e+01	   6.7956134e-01	   4.8043950e+00	   1.7873362e+02	
   4.4137833e+01	  -4.1996429e+01	   1.7482500e+02	   3.9000784e+00	   4.0788540e-01	   1.6020330e+01	   3.4641099e+01	   6.8066088e-01	   5.0518937e+00	   1.7833090e+02	
   4.4138528e+01	  -4.1998937e+01	   1.7482500e+02	   2.8280898e+00	   2.6777302e-01	   1.6003162e+01	   3.4650468e+01	   6.6600000e-01	   5.0435298e+00	   1.7866846e+02	
   4.4139222e+01	  -4.2001382e+01	   1.7482500e+02	   2.9620124e+00	   2.8332720e-01	   1.5931211e+01	   3.4645474e+01	   6.7889468e-01	   4.6719721e+00	   1.7823290e+02	
   4.4139917e+01	  -4.2004358e+01	   1.7482545e+02	   3.7323579e+00	   3.9087871e-01	   1.5878556e+01	   3.4658009e+01	   7.5555192e-01	   4.5757443e+00	   1.7762048e+02	
   4.4140611e+01	  -4.2007334e+01	   1.7482600e+02	   3.2806686e+00	   3.6277573e-01	   1.5912561e+01	   3.4671218e+01	   8.1754977e-01	   5.1909611e+00	   1.7867242e+02	
   4.4141306e+01	  -4.2009873e+01	   1.7482600e+02	   4.1261489e+00	   4.2371132e-01	   1.5920013e+01	   3.4644152e+01	   7.9020870e-01	   5.4850347e+00	   1.7913449e+02	
   4.4142000e+01	  -4.2012286e+01	   1.7482600e+02	   4.3709873e+00	   4.0354562e-01	   1.5935869e+01	   3.4629288e+01	   7.9257990e-01	   5.4011330e+00	   1.7802093e+02	
   4.4142695e+01	  -4.2015263e+01	   1.7482600e+02	   3.6031729e+00	   3.1285470e-01	   1.5970683e+01	   3.4630371e+01	   8.2736272e-01	   5.1640606e+00	   1.7763898e+02	
   4.4143389e+01	  -4.2017826e+01	   1.7482641e+02	   3.6519373e+00	   3.4910112e-01	   1.5942445e+01	   3.4626890e+01	   8.2607089e-01	   5.0628242e+00	   1.7858709e+02	
   4.4144083e+01	  -4.2020417e+01	   1.7482700e+02	   3.0295166e+00	   3.3844538e-01	   1.5911284e+01	   3.4643284e+01	   7.9585798e-01	   5.0788724e+00	   1.7835435e+02	
   4.4144778e+01	  -4.2023620e+01	   1.7482700e+02	   2.4362008e+00	   2.3722980e-01	   1.5899083e+01	   3.4640262e+01	   7.7442183e-01	   5.1162259e+00	   1.7802109e+02	
   4.4145472e+01	  -4.2026596e+01	   1.7482700e+02	   2.5137061e+00	   3.1900190e-01	   1.5901471e+01	   3.4630256e+01	   7.5455218e-01	   5.1089792e+00	   1.7872997e+02	
   4.4146167e+01	  -4.2029572e+01	   1.7482700e+02	   3.5776626e+00	   3.6437453e-01	   1.5932432e+01	   3.4625092e+01	   7.3385156e-01	   5.1611615e+00	   1.7890437e+02	
   4.4146861e+01	  -4.2032032e+01	   1.7482752e+02	   3.4432324e+00	   3.2699502e-01	   1.5946677e+01	   3.4614420e+01	   7.4215962e-01	   5.2060590e+00	   1.7872252e+02	
